abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
s.,"Chrzanów: Tęcza Tenczynek - Dulowa (s. 16.30), Start Kamień - Błyskawica Myślachowice (<mask> 16.30).  Klasa A Olkusz: Pogoń Miechów - Dłubnia Jangrot Trzyciąż (s. 17), Promień",ojciec,ojciec,"tensor([[ 80129,   8310,   1174,    267,    366, 152324,    262,   6175,  44397,
            592,    259,    264,  67709,   4553,    274,    263,    260,    259,
         127229,    506,   8970,  10721,   7504,    259,    264,    364,   4430,
           1855, 189654,   2368, 140888, 219147,    265,    274,   2709,  55114,
            669,    259, 127229,    483,  77013,    262,    298,   7142,    662,
           2781,    267, 142702,   9161,  37967, 141140,    259,    264,    431,
          20821,    316,   2069, 137948,  17968,    366,  32969,  41298,    274,
            263,    260,    911,    506, 123010,  37510,      1]])","tensor([[   259,   1171, 153848,      1]])"
s.,"16-20, n. 10-14; otwarcie s. 12).  Mistrzostwa Polski młodzików, hala w Bochni (<mask> 10, n. 10). (PAN)",hop.,hop.,"tensor([[   259, 235987,    261,    259,    272,    260,    259, 179679,    296,
          71759,  85232,    259,    263,    260,    644,    483, 100248,   1958,
          37679,  23911,    326, 154380,   6832,    261,  27350,    414, 140859,
            516,    274,   2709,  55114,    669,   5886,    259,    272,    260,
            475,    483,    274,  85893,    271,      1]])","tensor([[43345,   260,     1]])"
b.,Katowicki sąd aresztował na trzy miesiące <mask> prezesa i b. udziałowca klubu sportowego Ruch Chorzów Dariusza S. Prokuratura zarzuca,jezdnia,jezdnia,"tensor([[ 72723,  26359,    266,    259, 132967,    418,  17803,  23126,    294,
          61190,  51459,    265,   1042,  55114,    669, 177508,    263,    262,
            259,    266,    330,    260,    259,    273,  13680, 153951,  10047,
            273,   4264,   8704,   6705,    697,  47096, 107702,  16960, 113841,
            320,    260,    363, 215339,    262,    466, 132937,      1]])","tensor([[  259, 29641,  2069,     1]])"
g.,Adam Grabowski (Grudziądz)  GKS Błękitni Podwiesk - Kasztelan Papowo Biskupie 4:0 <mask> 16 - Mikołaj Tuszyński (Zapluskowęsy)  Niedziela Zamek Bierzgłowski - GKS Pogrom,niedziela,niedziela,"tensor([[ 12527,  56338,  37673,    274,    621, 225501, 177613,    271,    489,
          12016,    364,  43871,   9922,    516,   4841,   8614,   1186,    259,
            264,   8135,    360, 178174,  41021,   9394,  13633,   9035,    634,
         180702,   1042,  55114,    669,    799,    259,    264,  77055, 211282,
          38011, 214814,    274,  11777,  11372,  31191,  30107,    276,    271,
           4383, 110930,   1515,   5482,  75581,  30564, 234017,    259,    264,
            489,  12016,    363,  58259,      1]])","tensor([[   716, 110930,      1]])"
p.,"sprzedaży kamienicy.  PO to jest ta partia, której wiceprzewodniczącą jest żona <mask> Waltza. Pan Trzaskowski był szefem kampanii wyborczej żony p. Waltza. PO uważa,",godzina,godzina,"tensor([[   259,  35876,    276,    259, 211188,   2888,    260,  16410,    288,
           1402,    576,   3990,    262,    261,    259,   1743,   1057,    259,
          42358, 112066,  49410,    761,   1402,    259,  78579,    262,   1042,
          55114,    669,  81638,    745,    260,   7280,   1830,  13742,  52478,
            259,   7615,    259, 153243,    470,    259,  64040,    266,    259,
          50087,  31089,    259,  83873,    421,    260,  81638,    745,    260,
          16410,    259,    273,  71227,    261,      1]])","tensor([[29324,   262,     1]])"
ub. r.,"Biedroń ze swoją ekipą starał się to zrobić „sprytnie”. Zarejestrowali w połowie <mask> partię polityczną o nazwie „Kocham Polskę”, która obecnie zmieniła nazwę na „Wiosnę”",dnia,dzień,"tensor([[  2819, 135097,   9161,   1478,   7828,   2684,  18022,    761,   4527,
          13410,    947,    288,  26312,   1209,    565,    263,   2649,    276,
          62900,   1476,   1515, 126467,    494,    414,    485, 105845,   1042,
          55114,    669,   3990,   1241,    259, 189478,    761,    259,    268,
          36940,   8614,    565, 207808,    579, 159629,   1241,   1206,    259,
           1743,    262,    259,  23555,    634,  35735,   4005,  36940,  49099,
            294,    565,    638,   5632,  21150,    365,      1]])","tensor([[  259, 12574,     1]])"
d.,"KKPK z dnia 5 listopada br. wprowadza do polskiego prawa karnego dziecko poczęte (<mask> płód), a nadto różnicuje stopień jego ochrony w zależności od tego, czy byłoby ono",pum.,pum.,"tensor([[111888,  12713,    397,    259,  12574,    430,    259,  27876,    262,
          15284,    260,    414,  81469,    342,    485, 100673,    259,  48601,
           2050,   5663,    259,  34188,    268,    485,  31147,    346,    274,
           2709,  55114,    669, 128378,  30264,    506,    259,    262,   3159,
            476,    259,  45407,    297,   1466,   8126,  37510,    259,  10778,
            259,  71730,    276,    414,    259,  56876,   5727,    682,    259,
           4139,    261,   5598,    455,  84018,    351,    268,      1]])","tensor([[   259, 126279,    260,      1]])"
b.,"Kaczyńskiego, odwiedziła Gruzję, między innymi w celu spotkania się z więzionym <mask> prezydentem tego kraju Michaiłem Saakaszwilim. Gruzińskie władze nie pozwoliły na to spotkanie,",ustawy,ustawa,"tensor([[ 87728, 210246,    261,  95459,  77416,    259, 211914,  10108,    261,
          47485,    281,  17981,    414,  15337,   8796,  85462,    947,    397,
         169551,   6185,   5813,   1042,  55114,    669,    259, 111956,   3280,
            259,   4139,   8020,    273, 105348, 153280,  71334,   4697,  30103,
           6634,    260,    259, 211914,  85443,    265,  12167,  40393,    716,
           7523,  74776,   4430,    294,    288,   8796,  68594,    261,      1]])","tensor([[31952,   276,     1]])"
t.,"Listopadowe kontrakty na kukurydzę spadły o 0,30 proc. i kosztowały 247,00 EUR/<mask> Kontrakty styczniowe potaniały o 0,10 proc., macowe podniosły się o 0,30 proc. i",litr,litr,"tensor([[   458, 173097,   3407,  57971,    276,    294,  24325,  79150,  33534,
          57383,   4430,    259,    268,    259, 188835,  14791,    260,    259,
            266,  33102, 111319,    840,  82322,   2687,    275,   2709,  55114,
            669, 209684,   1421,    259,  44258,   3407,   2196,   4289,   4430,
            259,    268,    259, 171097,  14791,    260,    261,  19166,   3407,
           1012,  78501,   4430,    947,    259,    268,    259, 188835,  14791,
            260,    259,    266,      1]])","tensor([[36300,     1]])"
p.,"propozycję obniżenia stawki akcyzy na paliwo z 1556 zł na 1000l do ok. 1440 zł na 1000l <mask> Tusk określił jako koncepcję „piromana”. Jeśli p.Tusk i PO uważają siebie za strażaków,",ojciec,ojciec,"tensor([[   731,  46808,   1241,    259, 155344,  46850,   3736,  99047,   1841,
          41779,    276,    294,   4232,   4163,    397,    259, 166384,   4932,
            294,   3883,    280,    342,   5412,    260,  83652,   4932,    294,
           3883,    280,   1042,  55114,    669,   2313,   1186,    259,    268,
          24099,  34033,   3566,    259, 132663,  10108,    565,  85172,   6133,
           1476,   1170,  10252,    421,    260,  15450,   1186,    259,    266,
          16410,    259,  21283, 212310,    259,    263,  22941,    466,  25154,
          20389,   6832,    261,      1]])","tensor([[   259,   1171, 153848,      1]])"
o.,"przez Sąd Rejonowy w Toruniu za wykroczenie polegające na uiszczeniu grzywny za <mask> Tadeusza Rydzyka. Musi zapłacić 3,5 tys. zł kary.  Dyrektor Radia Maryja został",rokiem,rok,"tensor([[  3715,    320,  55330,    788,   6183,   4914,    414,   6858,   6303,
            273,    466, 139515,    268,  43953,   8979,    318,  38690,    294,
            259,    273,  83867, 135716,    259, 128105, 191220,    466,   1042,
          55114,    669,    366, 161289,    745, 121882, 102146,    260,  58153,
            466,  52430,   7155,  21591,  72632,    260,   4932,   2050,    276,
            260,  19522, 122233, 137269,  15255,    462,    259,  14183,      1]])","tensor([[7276, 3336,    1]])"
p.,"jawnie ideologicznej nominacji (…) oraz o przemieszczenie centrum w lewo. O stworzenie sytuacji, w której <mask> Fuszara w istocie znajdzie się w centrum — nowym oczywiście. Zaś ci, co dotychczas",S.  pseudonim Masa.,S.  pseudonim Masa.,"tensor([[   432, 113895,  65900,  68579,  58538,   6723,  22882,    259,   3711,
            259,    268, 196217,    265, 117214,  23134,    414,    340,   4163,
            260,    443,    259,  40709,  51101,   2060,    876,   6723,    261,
            414,    259,   1743,   1057,   1042,  55114,    669,  33344,  73695,
            414,    259,   7763,   3352,  58616,   5732,    947,    414,  23134,
            661,    259, 135631,    259,  62560,  62501,    260,   1515,   3376,
           2708,    261,    964,    342,  10011,  12347,      1]])","tensor([[  320,   260, 70768,  7841,  9500,   260,     1]])"
k.,"Jurajskie Zawody Samolotowe im. Piotra Sikorskiego, które odbędą się w Rudnikach <mask> Częstochowy, w dniach 19-21 września.  Jurajskie Zawody Samolotowe im. Piotra Sikorskiego",ulicy,ulica,"tensor([[111467,  44067,    265, 148853,  42125,  22115,  14670,   3407,    859,
            260,  65124,    262,    320,   5009, 136030,    261,    259,   1743,
            265,    682,  14398,    761,    947,    414,  29951, 207637,   1042,
          55114,    669,    371, 194953,    276,    261,    414,    331,  63498,
            963,  21720,  27408,  44850,    262,    260, 111467,  44067,    265,
         148853,  42125,  22115,  14670,   3407,    859,    260,  65124,    262,
            320,   5009, 136030,      1]])","tensor([[27685,   276,     1]])"
m.,"Świata.  Rober Johansson - 135,5 m. Norweg jest liderem.  Dawid Kubacki - 111,5 <mask> Manuel Fettner - 114,5 m. Austriak przegrał z Polakiem. Kubacki miał 116,3 pkt,",godzinę,godzina,"tensor([[ 30546,   1319,    260,  26664,    295,    664, 162476,    259,    264,
            849,  81788,    326,    260,    259, 156698,   1402,  15729,    470,
            260,  46188,    525,   2467,   5927,    266,    259,    264,    730,
          46275,   1042,  55114,    669,  19993, 116949,   1946,    259,    264,
            730,  49250,    326,    260,  38284,    314, 172591,  13410,    397,
          39473,  11155,    260,   2467,   5927,    266,    259,  29908, 130280,
            328,    259,   2086,    270,    261,      1]])","tensor([[29324,  1241,     1]])"
m.,"Świata.  Rober Johansson - 135,5 m. Norweg jest liderem.  Dawid Kubacki - 111,5 <mask> Manuel Fettner - 114,5 m. Austriak przegrał z Polakiem. Kubacki miał 116,3 pkt,",godzinę,godzina,"tensor([[ 30546,   1319,    260,  26664,    295,    664, 162476,    259,    264,
            849,  81788,    326,    260,    259, 156698,   1402,  15729,    470,
            260,  46188,    525,   2467,   5927,    266,    259,    264,    730,
          46275,   1042,  55114,    669,  19993, 116949,   1946,    259,    264,
            730,  49250,    326,    260,  38284,    314, 172591,  13410,    397,
          39473,  11155,    260,   2467,   5927,    266,    259,  29908, 130280,
            328,    259,   2086,    270,    261,      1]])","tensor([[29324,  1241,     1]])"
br. tzw.,"Studenci Uniwersytetu Jagiellońskiego w Krakowie nakręcą w kwietniu <mask> LipDub, czyli muzyczny teledysk, który w nowoczesnej formie ma promować uczelnię.",ojciec,ojciec,"tensor([[198344,    769,    581,  75453,  75210,    273,   5487, 148185, 122104,
            414,  71419,    634,    294, 113407,    761,    414,   7097,  36181,
            273,   1042,  55114,    669,  15075, 172993,    261,    259,  27244,
          56141,  74422,   7016,   1582,   1186,    261,    259,   1743,    276,
            414,    259,    272,  68033,   1057,    259, 133777,    496,   5415,
          37396,    259,    273, 153661,   1241,    260,      1]])","tensor([[   259,   1171, 153848,      1]])"
s.,"jadowita krytyka klerykalizmu, księżowskiej pychy i niedokształcenia. Skoro księża chcą <mask> Borkowskiej słuchać, może coś w polskim Kościele drgnie?  W wydanej właśnie w Tyńcu",pani,pani,"tensor([[   259,  92155, 173607,    259, 126771,    479,    259,  23779,    276,
           5360,  90474,    261,  86508,   1610, 147285,    421,   3039,    276,
            259,    266,  97405,  73031,   3631,    260,  50793,    268,  86508,
          20389,    562,  63149,   1042,  55114,    669,   9657,    314, 147285,
         132497,   5129,    261,    259,   4123,    265,    964,   3376,    414,
            259,  53171,    282,    259,  95557,   1094,   5505,    318,   1145,
            291,    564,  14811,   2794,  12167,  20623,    414,  10377,  27274,
            273,      1]])","tensor([[19058,     1]])"
im. S.,"kierownik oddziału okulistycznego z pododdziałem okulistyki dziecięcej w szpitalu <mask> Żeromskiego mówi Gazecie Krakowskiej, że przez ostatnie kilka lat gwałtownie wzrosła",sobota,sobota,"tensor([[ 58681,   2633,    682,  13680,    273,  34024,    417, 176406,    397,
           1012,   3240,  13680,    470,  34024,    417,  60519,    331, 118315,
           1057,    414,   6118,  40690,    273,   1042,  55114,    669,  33064,
         127873,  44865,    259,  18365, 200917,   3352,  71419,  46992,    261,
           1810,   3715,    259,  49113,    265,  16842,    262,    283,    270,
            259,    318,  53181,    270,  99481,  18640, 202266,    262,      1]])","tensor([[  259, 41784,   262,     1]])"
Pkt.,"jakości handlowej”, po drugie ta sama norma dokładnie określa parametry tego paliwa (<mask> 5.3 Paliwo do badań oraz Tablica 7 – paliwa do badań). Wystarczy rzucić okiem na",sobota,sobota,"tensor([[   432,  28189, 157599,   6955,   1206,    485,    259, 109958,    576,
           3038,  21700,    342,  73054,    265,    259,    268,  24099,    262,
          45934,    276,    259,   4139,   4232,    969,    274,   2709,  55114,
            669,  72691,  56199,   4163,    342,    810,  70920,    259,   3711,
           1739, 159453,    617,    322,   4232,    969,    342,    810,  70920,
            483,  52344, 128995,    259, 123191,   1209,    259,    268,  11155,
            294,      1]])","tensor([[  259, 41784,   262,     1]])"
Pt. nd. wt.,"2012 - w zestawieniu z wizją Dudy-Gracz? Brzmi ciekawie! Reż. Agata Duda-Gracz <mask> śr, 10, 12, 14,15.05 Małopolski Ogród Sztuki ul. Rajska 12 Godz. 19.00. Wstęp 35/45",byłego,były,"tensor([[   846,    259,    264,    414,    259,  66289,  85404,    397,    259,
          50245,   2684,   1231,   1582,    264, 139788,   2268,    291, 126511,
            711,  41805,    634,    309,    788,   1610,    260,    298,  18751,
           1231,    407,    264, 139788,   2268,   1042,  55114,    669, 220840,
            261,   5886,   5875,    259, 205988, 198146,    352, 213700,    266,
           4519,  17197,   9580, 103698,    259,    454,    260,  15764,   1855,
            644,   3825,    360,    260,    259,  47094,    260,    564,  11949,
            381,  98319,      1]])","tensor([[  455, 49152,     1]])"
g.,Gdańsku – Górkach Zachodnich. Nasza edycja trwa od godziny 9 do 19. W programie m.in.: <mask> 09:00 – Odprawa Meteo – prowadzona przez IMGW g. 09:30 – taktyka regatowa – Adam,godzina,godzina,"tensor([[   259,  80872,    273,    322,  61936,  16267,   1515, 176466,    697,
            260,  21250,    745,    259,    345, 120137,    259,  70911,    682,
          29324,    276,    774,    342,   5785,    564,   2063,    634,    326,
            260,    348,    260,    267,   1042,  55114,    669,  35203,    322,
           3770,  48601, 135759,    322,    259,  76663,    262,   3715, 149506,
            638,    259,    318,    260,  83191,    322,    756,  55434,    259,
         139996,   4553,    322,  12527,      1]])","tensor([[29324,   262,     1]])"
p.,miał” – Krzysztof Masłoń  Spotkanie poprowadzi red. Jakub Moroz  Wiersze przeczyta <mask> Michał Chorosiński  Wstęp wolny  „Jeśli czytelnik nie odnajdzie w wierszach Piotra,pana,pan,"tensor([[   259,  29908,    365,    322,    412, 102348,   4130,   4319,   9161,
          38444,  68594,    485,  45951,   5656,    260,  72654,  72193,    360,
         177057,  10098,    421, 121584,   1042,  55114,    669,   1784, 111613,
          47096,    337,  85443,    564,  11949,  28560,    680,    565,  11261,
          10252,    317, 124853,    314,    716,    682,    377,  99356,    414,
          94018,    263,  97587,  65124,    262,      1]])","tensor([[10862,     1]])"
s.,"Wisła Kraków - Legia Warszawa (s. 18).  Rozgrywki KNBA, hala przy ul. Piastowskiej (<mask> 17, n. 9).  II liga mężczyzn: Wanda Kraków - MOSiR Bochnia (s. 17), MTS Chrzanów",ubiegłego roku,ubiegły rok,"tensor([[ 69143,   4005,    259,  76881,    259,    264,  70531,    262,  46595,
            274,    263,    260,    812,    483,   9077, 132120,    650,    412,
          73016,    261,  27350,   2890,    259,    454,    260,  21475,    705,
         147285,    274,   2709,  55114,    669,   7034,    259,    272,    260,
            259, 164305,   2052,  30788,    326,  24934,  90280,    267,    259,
         202511,    259,  76881,    259,    264, 140014,    266,    582, 140859,
           2069,    274,    263,    260,    911,    506,    259, 114249,  80129,
           8310,   1174,      1]])","tensor([[  259,   273, 37587, 49152,  4351,     1]])"
s.,"Halowe mistrzostwa młodzieżowe w Podokręgu Myślenice, hale w Dobczycach i Tokarni (<mask> 9).  Halowe mistrzostwa młodzieżowe w Podokręgu Wieliczka, hale w Wieliczce (Solne",dawniej,dawniej,"tensor([[  7411,   3407,    259,  73644,    268,  37679,    326,  89679, 175535,
            414,   4841,    268, 146111,   2871,   2368, 107796,   5717,    261,
          50075,    414,  50953, 191603,   1483,    259,    266,    926, 106354,
            274,   2709,  55114,    669,    259, 164305,   7411,   3407,    259,
          73644,    268,  37679,    326,  89679, 175535,    414,   4841,    268,
         146111,   2871,  84689,    266,  90009,    261,  50075,    414,   8245,
          17069, 118769,    274,  70849,    405,      1]])","tensor([[19739, 23518,     1]])"
b.,Kanonizacja papieża Polaka jest możliwa nawet jesienią tego roku - powiedział PAP <mask> sekretarz Jana Pawła II i Benedykta XVI metropolita lwowski abp Mieczysław Mokrzycki.,byłym,były,"tensor([[   259, 231926, 111596,  26188,   8190,    262,  39473,    479,   1402,
            259,  15577,    262,    294,   7765,    384, 167549,    761,    259,
           4139,   4351,    259,    264,    259,  58942, 140083,   1042,  55114,
            669, 143484,    360,  35597,  37680,   4005,   2052,    259,    266,
         152538,    276,  37819,  45032, 167070,    422,  37918,  37673,   1995,
            325,  37967,  14508,  64277,   2546,  89299,  96766,    260,      1]])","tensor([[  455, 41229,     1]])"
o.,"prawdę. „Zostałem zaskoczony przez stan odpoczynku, podobny do słodkiego snu – pisze <mask> Pio Forgione. – Gdy to się działo, zobaczyłem przed sobą tajemniczą osobę podobną",tonę,tona,"tensor([[ 54884,   1241,    260,    565,    997,  16554,  16032,    466,   3507,
         106702,   3715,  16195,    682,  81216,    662,    261,  23733,    276,
            342,    259, 140068,  33842,  71674,    322, 101979,    265,   1042,
          55114,    669, 114033, 172762,  35148,    260,    322,    489,   1582,
            288,    947,  54299,    268,    261,    259,  47749, 187447,  10723,
            510,  25826,    259, 140849, 142573,   6532,   1241,  23733,    761,
              1]])","tensor([[  288, 21150,     1]])"
l.,"Golf Variant 4Motion wyposażony jest seryjnie w filtr cząsteczek stałych, zużywa 6 <mask> oleju napędowego na setkę, zaś od 0 do 100 km/h przyspiesza w 12,9 sek. rozpędzedzając","pan, premier","pan, premier","tensor([[ 10136,  70372,    419, 104055,   1628,  30828,  83873,   1402,    919,
         140025,    414,  24178,    259,  37888,   1082,  78407,   3736,  31244,
            261,    760, 163771,    570,   1042,  55114,    669,  31465,    273,
            294, 136483,   8704,    294,    303, 154399,    261,    466,   3376,
            682,    497,    342,    966,   1006,    275,    334,   2890, 125982,
            745,    414,   5875,    495,  18265,    260,   2392,  89036,    345,
            360,  25738,      1]])","tensor([[5242,  261, 8876,    1]])"
Zob.,"ataków na rusińskich więźniów przez żydowską i polską tłuszczę w żadnym innym źródle. <mask> Alexander V. Prusin, “A ‘Zone of Violence’: The Anti-Jewish Pogroms in Eastern Galicia",ojca,ojciec,"tensor([[   259,   1319,   6832,    294,    259,  78952, 146921, 169551,  36584,
           1174,   3715,    259,   5318,  85919,  57271,    259,    266,  63939,
            761,    259, 127492,   1241,    414,  50478,  60172,    281,   5813,
            259,  11969,  17197,    468,    260,   1042,  55114,    669,  24709,
            434,    260, 186831,    348,    261,    359,    357,    671,  66365,
            304,    434, 209699,    293,    267,    486,   6227,    264,  11261,
          27008,    363,  58259,    263,    281,    259,  48918,  31140,      1]])","tensor([[ 259, 1171,  750,    1]])"
j.,cały incydent miał podłoże seksualne – dodaje rzecznik.  Zaatakował kobietę nad <mask> Strzeszyńskim. Bił pałką i usiłował zaciągnąć do lasu. Policjanci mają nagranie,pani,pani,"tensor([[ 17323,    276,    281,   2888,  50614,    259,  29908, 213569,  14930,
          41025,    405,    322,    342,  20308,  58815,   2633,    260,   1515,
            262,   3323,  23126,  32750,   1241,   3159,   1042,  55114,    669,
           1819, 152868,    276, 154179,    260,    364,  34033,    555,   2898,
           5665,    259,    266,    259,    273,  74564,  23126,    466,  17093,
          34776,    342,    800,    273,    260,  59226,   4164,    769,    496,
           2684, 143265,   1145,      1]])","tensor([[19058,     1]])"
b.,"“Honor Narodu”.  Tyle Bstrykin AD 2015. W odpowiedzi na te opowieści rzeczniczka <mask> ukraińskiego premiera poradziła rosyjskim władzom na Facebooku, aby „poddały szefa",koło,koło,"tensor([[   359, 170514,  77600,    273,   1476,    366,  11811,    364, 157407,
            348,  24278,  13978,    564,  60480,    294,    400,    259, 222839,
          83818,  58815, 217854,   1042,  55114,    669,    259,  57765, 197954,
           8876,    262,    519,    262, 194721,    259, 171681, 131627,    414,
         157124,    773,    294,   2563,    273,    261,   3823,    565,  12962,
            407,   4430,    259, 153243,    262,      1]])","tensor([[  259, 47680,     1]])"
mas.,"do klasy robotniczej przekonani, że rewolucja zwycięży, bo służy interesom szerokich <mask> Dzisiejsi neomarksiści już tak nie myślą. Uważają, że szerokie masy siedzieć cicho",metrów,metr,"tensor([[   342,    259, 103652,  15332, 181582,  90718,   2384,    261,   1810,
            584, 147684,  12465,    397,  90950,   5318,    261,    759,    259,
          47991,    276,   9675,    773,    259, 104034,  32411,   1042,  55114,
            669,  19710,    263,  12476,    522,  39881,  75735,    266,  24378,
           1218,   1610,    756,    716,  37740,    761,    260,    581,  71227,
           2684,    261,   1810,  35744, 145410, 151048,    259, 101170,  25832,
            259,  71286,    268,      1]])","tensor([[  824, 64058,     1]])"
pa.,"sfi na li zo wać za kup udzia łów w nor we skim zło żu, na któ rym jest wy do by wa na ro <mask> – W li sto pa dzie po ja wi się in for ma cja w spra wie za ku pów na szel fie nor we skim",metrów,metr,"tensor([[ 89676,    294,    615,   1511,    259,  37396,    466,   8347,    259,
          72866,    262,    259,  22575,    414,  15421,    787,    259,  30896,
          34410,    259,  46392,    261,    294,    408,  22744, 150754,   1402,
           1628,    342,    455,    683,    294,   5345,   1042,  55114,    669,
            322,    564,    615,   4788,    555,    259,   5732,    485,    432,
          21948,    947,    281,    332,    496,    259,  12465,    414,  82607,
           1968,    466,    601,    421,   1174,    294,    259, 103275,   9233,
          15421,    787,    259,  30896,      1]])","tensor([[  824, 64058,     1]])"
h.,"miejscami od 20 mm do 30 mm, a miejscami nawet do 40 mm oraz porywami wiatru do 80 km/<mask> Lokalnie może padać grad.  Według prognoz burze zaczną się wczesnym popołudniem",bieżącego roku tak zwany,bieżący rok tak zwany,"tensor([[  8401,   1708,    682,    628,   2062,    342,    733,   2062,    261,
            259,    262,   8401,   1708,    294,   7765,    342,   1251,   2062,
            259,   3711,    519,    276,  68211,    259,  91216,    737,    342,
           2295,   1006,    275,   2709,  55114,    669,  32412,   1145,    259,
           4123,    265,   1404,   1209,  13690,    260,   1306,  47717,  72910,
            758,  20318,    466,  88569,    947,    414,  66701,   2722,    485,
         122460,    470,      1]])","tensor([[   330,   8190, 103592,   4351,    756,    397,  83123,      1]])"
v.,albo z czasem. Poniżej dalsza część artykułu  Dla przyszłości sprawy Obergefell <mask> Hodges precedensem wydaje się kwestia z początku zeszłego stulecia. W stanie Nowy,siostry,siostra,"tensor([[ 35806,    397,   7131,    470,    260,   1139,  12729,   1057,   2283,
          30433,    259,  91388,   1209,  60157,    273,    259,  30104,  50678,
          23876,  14601,    276,  19198,   1017,  62546,   1042,  55114,    669,
          65754,   8288, 198965,   6524,  14811,    608,    947,  39754,   6163,
            397,  24229,  38575,    273,    259, 145044,  49152,    259,  45354,
            265,   1729,    260,    564,    259,  32572,   6928,    276,      1]])","tensor([[ 395,  337, 9696,    1]])"
o.,"też: Posłanka Sobecka zostanie ukarana za złamanie prawa?  Jak zeznał przed sądem <mask> Jan K., pełnomocnik szefa Radia Maryja, dzień lub dwa dni później pieniądze zostały",imienia S.,imię S.,"tensor([[   400,   1610,    267,   1139,  60462,    479,   1525,  41260,    262,
          21308,   1145,    259,    273, 166243,    466,   4932,  60072,    265,
            259,  48601,    291,   5588,    259, 151545, 138842,  10723,   3395,
           2930,   1042,  55114,    669,   2105,    412,    260,    261,    259,
         199509, 129701,    314,    259, 153243,    262, 137269,  15255,    462,
            261,    259,  29269,   2919,  37274,  11635,  23372,  51726,    385,
          34284, 107476,    259,  14183,    276,      1]])","tensor([[   259,    266, 101793,    320,    260,      1]])"
o.,"następujących kategoriach:  • Jałowice w wieku 12 – 17 m-cy: - Czempion: Pestka 17, <mask> Reuben (US), Mirosław Chmieliński, Rzęgnowo - Wiceczempion: Sekunda 26, o. Barbados",punkt,punkt,"tensor([[   294,  11949,  40143,  16335,   1483,    267,    792,   1480, 236766,
            265,    414,   1968,    662,    644,    322,    911,    326,    264,
           2888,    267,    259,    264, 120269, 177798,    267,  63955,    479,
           7034,   1042,  55114,    669,    788,    273,   1274,    274,   2459,
            506,  14272, 110688,   1536,  98897,  85443,    261,    531,  33534,
          24195,   4163,    259,    264,    564,   3681,   2268, 177798,    267,
         109324,    262,   8156,    259,    268,    260,    259, 164752,      1]])","tensor([[18199,     1]])"
s.,"(s. 11), TS Węgrzce - LKS Jawiszowice (s. 11), Sokół Kocmyrzów - Dalin Myślenice (<mask> 17), KS Chełmek - Słomniczanka (s. 17), Garbarnia II Kraków - Beskid Andrychów (n.",piątek niedziela wtorek,piątek niedziela wtorek,"tensor([[   274,    263,    260,    730,    506,  31442,    564,   1241, 128105,
            541,    259,    264,    259, 204944,  92176,  83867, 144281,    274,
            263,    260,    730,    506,  46735,  17311, 130492,  99829, 107702,
            259,    264,  12634,    348,   2368, 107796,   5717,    274,   2709,
          55114,    669,    911,    506,  55563,   8159,   2898,   5482,    259,
            264, 171728,    282, 183117,   9769,    274,    263,    260,    911,
            506, 102901, 148316,   2052,    259,  76881,    259,    264, 191975,
            525,   1829,  92452,   1174,    274,    272,    260,      1]])","tensor([[   259,  86924,   2901,    716, 110930,    414, 113539,      1]])"
l.,"rozporządzenie w tej kwestii jest elementem przygotowywanego pakietu budżetowego na <mask> 2021-2027, w którym jest również tzw. fundusz odbudowy po pandemii koronawirusa.",godzina,godzina,"tensor([[ 32230,  70440,    265,    414,   5959,  39754,  12074,   1402,   4662,
            470, 119832,    276, 167349,  68086,  60426,   7157,   3598,    270,
           8704,    294,   1042,  55114,    669,  26221,    264, 135735,    261,
            414,    259,   1743,   2722,   1402,  10396,   8190,    259,  98300,
            260,   6808,  22267,    682,  98906,    276,    485,  47842,    266,
          67378,   3367, 103070,    260,      1]])","tensor([[29324,   262,     1]])"
ż.,"tej podstawie odtworzono prawdopodobny przebieg wydarzeń. Przyjęto, że Krzysztof <mask> pobił kobietę tak mocno, że obrażenia okazały się śmiertelne. Chcąc ukryć zbrodnię",pan,pan,"tensor([[  5959,  24556,    634,    682,  55456,   3602,  54884, 112574,    680,
           3645,  37587,  14811,    286,  49989,    260,    259, 194918, 154100,
            261,   1810,    412, 102348,   1042,  55114,    669,  59515,  34033,
          32750,   1241,    756,  11525,    505,    261,   1810,  10162,  46850,
          16350,  25177,    947,    259,  85536,   2366,    405,    260,   1536,
            297,  58975,  61930,  13359,    397, 203949, 121189,      1]])","tensor([[5242,    1]])"
o.,przeszłości ukarała m.in. posłankę Annę Sobecką za bezprawne zapłacenie grzywny za <mask> Tadeusza Rydzyka.  W ocenie RPO działania te można postrzegać jako wpływające negatywnie,sobota,sobota,"tensor([[109341,  23876,    259, 210155,   4005,    326,    260,    348,    260,
            485,  60462,  10167,   1029,  21150,    320,  36451,   5665,    466,
           1756,  99468,    405,    466,  52430,   2909,    259, 128105, 191220,
            466,   1042,  55114,    669,    366, 161289,    745, 121882, 102146,
            260,    564,    259,  80348,    265,    531,  21181,  12711,   2069,
            400,    259,   4123,    377,    421, 175893,   1209,   3566,    414,
          36425,  38690,  93404, 120228,      1]])","tensor([[  259, 41784,   262,     1]])"
